Leerling,Score,,,,
"Als ik een schooltaak niet begrijp, dan ga ik net zo lang door totdat ik het begrijp (MES)",3,,,,
"Als ik iets niet begrijp, dan probeer ik er eerst zelf achter te komen voordat ik om hulp vraag (SSEM)",3,,,,
Als opdrachten moeilijk dan probeer ik het toch tot een goed einde te laten verlopen (SSEM),3,,,,
"Zelfs al vind ik een opdracht niet leuk, dan doe ik mijn best (SSEM)",3,,,,
Ik wil mezelf verbeteren in de taken die ik doe (SEI),3,,,,
Ik probeer de schooltaken op een juiste manier uit te voeren (SEI),3,,,,
"Als ik klaar ben met mijn taken, dan check of eerst zelf of ik de taken goed heb afgerond (SEI)",3,,,,
Ik let op in de les (SESQ),3,,,,
Ik doe mijn best in school (SSEM),3,,,,
Ik doe mijn best om te begrijpen waar ik mee bezig ben (SSEM),2,,,,
Ik ben in de klas nuttig bezig met schooltaken (SSEM),2,,,,
Op school zijn mijn gedachten bij schoolwerk (SSEM),2,,,,
Ik weet welke taken ik wanneer moet doen (SSEM),2,,,,
Ik begin optijd met taken (SSEM),2,,,,
Ik heb mijn huiswerk optijd af (zelf),2,,,,
Ik heb de taken optijd af (zelf),4,,,,
Ik zie school als nuttig (SSEM),4,,,,
Ik heb plezier in school (SSEM),4,,,,
Ik vind het belangrijk om te laten zien wat ik kan (SESQ),4,,,,
De dingen die ik leer op school vind ik interessant (SESQ),4,,,,
Ik vind het leuk om nieuwe dingen te leren (SESQ),4,,,,
Ik vind het behalen van goede cijfers belangrijk (SSEM),4,,,,
Het middelbare school niveau waar ik straks heen ga is belangrijk (SEI),4,,,,
